Line #,Key,en Version,ka Translation
1,ka.mongoid.models.user,User,მომხმარებელი
2,ka.mongoid.models.page_content,Text for Pages,ტექსტი გვერდებისთვის
3,ka.mongoid.models.dataset,Dataset,Dataset
4,ka.mongoid.models.shapeset,Shapeset,Shapeset
5,ka.mongoid.models.question,Question,Question
6,ka.mongoid.models.time_series,Time Series,Time Series
7,ka.mongoid.models.time_series_question,Question,Question
8,ka.mongoid.models.time_series_answer,Answer,Answer
9,ka.mongoid.models.api_version,API Version,API Version
10,ka.mongoid.models.api_method,API Method,API Method
11,ka.mongoid.models.api_key,API Access Token,API Access Token
12,ka.mongoid.models.categories,Category,Category
13,ka.mongoid.models.category_mappers,Categories,Categories
14,ka.mongoid.attributes.user.email,Email Address,ელ.ფოსტა
15,ka.mongoid.attributes.user.password,Password,პაროლი
16,ka.mongoid.attributes.user.password_confirmation,Password Confirmation,გაიმეორეთ პაროლი
17,ka.mongoid.attributes.user.role,Role,როლი
18,ka.mongoid.attributes.user.remember_me,Remeber Me,დამიმახსოვრე
19,ka.mongoid.attributes.user.nickname,Nickname,მომხმარებლის სახელი
20,ka.mongoid.attributes.user.sign_in_count,Number of Times Logged In,შემოსვლის რაოდენობა
21,ka.mongoid.attributes.user.created_at,Date Created,შექმნის თარიღი
22,ka.mongoid.attributes.user.current_sign_in_at,Date Last Logged In,ბოლო შემოსვლის თარიღი
23,ka.mongoid.attributes.user.first_name,First Name,First Name
24,ka.mongoid.attributes.user.last_name,Last Name,Last Name
25,ka.mongoid.attributes.user.name,Name,Name
26,ka.mongoid.attributes.user.age_group,Age Group,Age Group
27,ka.mongoid.attributes.user.residence,Country of Residence,Country of Residence
28,ka.mongoid.attributes.user.affiliation,Affiliation,Affiliation
29,ka.mongoid.attributes.user.status,Status,Status
30,ka.mongoid.attributes.user.status_other,When other(Please specify),When other(Please specify)
31,ka.mongoid.attributes.user.description,Short description of research objective (<i>optional</i>),Short description of research objective (<i>optional</i>)
32,ka.mongoid.attributes.user.notifications,I want to receive notifications when new datasets are added,I want to receive notifications when new datasets are added
33,ka.mongoid.attributes.user.notification_locale,Notification Language,Notification Language
34,ka.mongoid.attributes.message.name,Name,სახელი
35,ka.mongoid.attributes.message.email,Email Address,ელ.ფოსტის მისამართი
36,ka.mongoid.attributes.message.message,Message,შეტყობინება
37,ka.mongoid.attributes.message.subject,Subject,Subject
38,ka.mongoid.attributes.agreement.email,Email Address,Email Address
39,ka.mongoid.attributes.agreement.first_name,First Name,First Name
40,ka.mongoid.attributes.agreement.last_name,Last Name,Last Name
41,ka.mongoid.attributes.agreement.age_group,Age Group,Age Group
42,ka.mongoid.attributes.agreement.residence,Country of Residence,Country of Residence
43,ka.mongoid.attributes.agreement.affiliation,Affiliation,Affiliation
44,ka.mongoid.attributes.agreement.status,Status,Status
45,ka.mongoid.attributes.agreement.status_other,When other(Please specify),When other(Please specify)
46,ka.mongoid.attributes.agreement.description,Short description of research objective (<i>optional</i>),Short description of research objective (<i>optional</i>)
47,ka.mongoid.attributes.agreement.dataset_id,Dataset,Dataset
48,ka.mongoid.attributes.agreement.dataset_type,Download Type,Download Type
49,ka.mongoid.attributes.agreement.dataset_locale,Download Language,Download Language
50,ka.mongoid.attributes.agreement.created_at,Date,Date
51,ka.mongoid.attributes.page_content.name,Unique Name,Unique Name
52,ka.mongoid.attributes.page_content.title,Title,Title
53,ka.mongoid.attributes.page_content.content,Content,კონტენტი
54,ka.mongoid.attributes.dataset.title,Title,Title
55,ka.mongoid.attributes.dataset.description,Description,Description
56,ka.mongoid.attributes.dataset.methodology,Methodology,Methodology
57,ka.mongoid.attributes.dataset.source,Source of Data,Source of Data
58,ka.mongoid.attributes.dataset.source_url,URL to Souce,URL to Souce
59,ka.mongoid.attributes.dataset.datafile,Data File,Data File
60,ka.mongoid.attributes.dataset.has_warnings,Issues with Data,Issues with Data
61,ka.mongoid.attributes.dataset.stats,Dataset Stats,Dataset Stats
62,ka.mongoid.attributes.dataset.codebook,Codebook,Codebook
63,ka.mongoid.attributes.dataset.released_at,Date Released,Date Released
64,ka.mongoid.attributes.dataset.start_gathered_at,Date Started Gathering Data,Date Started Gathering Data
65,ka.mongoid.attributes.dataset.end_gathered_at,Date Finished Gathering Data,Date Finished Gathering Data
66,ka.mongoid.attributes.dataset.gathered_at,Dates Collected,Dates Collected
67,ka.mongoid.attributes.dataset.public,Make Available to the Public,Make Available to Public
68,ka.mongoid.attributes.dataset.languages,Languages of Dataset,Languages of Dataset
69,ka.mongoid.attributes.dataset.default_language,Default Language,Default Language
70,ka.mongoid.attributes.dataset.is_mappable,Has questions that are geographic in nature,Has questions have been setup to show answers on a map
71,ka.mongoid.attributes.dataset.created_at,Added On,Added On
72,ka.mongoid.attributes.dataset.reports,Reports,Reports
73,ka.mongoid.attributes.dataset.category_ids,Categories,Categories
74,ka.mongoid.attributes.question.code,Question Code,Question Code
75,ka.mongoid.attributes.question.original_code,Question Code,Question Code
76,ka.mongoid.attributes.question.text,Question,Question
77,ka.mongoid.attributes.question.notes,Notes,Notes
78,ka.mongoid.attributes.question.exclude,Exclude Question from Analysis,Exclude Question from Analysis
79,ka.mongoid.attributes.question.exclude_download_header,Exclude Question from Analysis (leave blank to show question),Exclude Question from Analysis (leave blank to show question)
80,ka.mongoid.attributes.question.no_questions,There are no questions on file for this dataset.,There are no questions on file for this dataset.
81,ka.mongoid.attributes.question.is_mappable,Question has been setup to show answers on a map,Question has been setup to show answers on a map
82,ka.mongoid.attributes.question.has_code_answers,Has defined list of answers,Has defined list of answers
83,ka.mongoid.attributes.question.possible_answers,Possible Answer Values,Possible Answer Values
84,ka.mongoid.attributes.question.data_answers,Answer Values in Data,Answer Values in Data
85,ka.mongoid.attributes.answer.value,Value,Value
86,ka.mongoid.attributes.answer.text,Answer,Answer
87,ka.mongoid.attributes.answer.exclude,Exclude Answer from Analysis,Exclude Answer from Analysis
88,ka.mongoid.attributes.answer.exclude_download_header,Exclude Answer from Analysis (leave blank to show answer),Exclude Answer from Analysis (leave blank to show answer)
89,ka.mongoid.attributes.answer.can_exclude,Can Exclude During Analysis,Can Exclude During Analysis
90,ka.mongoid.attributes.answer.can_exclude_download_header,Can Exclude During Analysis (leave blank to always show answer),Can Exclude During Analysis (leave blank to always show answer)
91,ka.mongoid.attributes.answer.no_questions,There are no questions on file for this dataset.,There are no questions on file for this dataset.
92,ka.mongoid.attributes.answer.sort_order,Sort Order,Sort Order
93,ka.mongoid.attributes.answer.shape_name,Name of Shape,Name of Shape
94,ka.mongoid.attributes.report.title,Title,Title
95,ka.mongoid.attributes.report.file,File,File
96,ka.mongoid.attributes.report.released_at,Date Released,Date Released
97,ka.mongoid.attributes.report.langauge_id,Language,Language
98,ka.mongoid.attributes.report.summary,Summary,Summary
99,ka.mongoid.attributes.time_series.title,Title,Title
100,ka.mongoid.attributes.time_series.description,Description,Description
101,ka.mongoid.attributes.time_series.source,Source of Data,Source of Data
102,ka.mongoid.attributes.time_series.source_url,URL to Souce,URL to Souce
103,ka.mongoid.attributes.time_series.public,Make Available to the Public,Make Available to the Public
104,ka.mongoid.attributes.time_series.created_at,Added On,Added On
105,ka.mongoid.attributes.time_series.datasets,Datasets,Datasets
106,ka.mongoid.attributes.time_series.dates,Dates Included,Dates Included
107,ka.mongoid.attributes.time_series.category_ids,Categories,Categories
108,ka.mongoid.attributes.time_series_dataset.dataset_id,Dataset,Dataset
109,ka.mongoid.attributes.time_series_dataset.title,Label,Label
110,ka.mongoid.attributes.time_series_dataset.sort_order,Sort Order,Sort Order
111,ka.mongoid.attributes.time_series_question.code,Question Code,Question Code
112,ka.mongoid.attributes.time_series_question.original_code,Question Code,Question Code
113,ka.mongoid.attributes.time_series_question.text,Question,Question
114,ka.mongoid.attributes.time_series_question.notes,Notes,Notes
115,ka.mongoid.attributes.time_series_dataset_question.code,Question Code,Question Code
116,ka.mongoid.attributes.time_series_dataset_question.text,Question,Question
117,ka.mongoid.attributes.time_series_dataset_question.notes,Notes,Notes
118,ka.mongoid.attributes.time_series_dataset_question.dataset,Dataset,Dataset
119,ka.mongoid.attributes.time_series_answer.value,Value,Value
120,ka.mongoid.attributes.time_series_answer.text,Answer,Answer
121,ka.mongoid.attributes.time_series_answer.can_exclude,Can Exclude During Analysis,Can Exclude During Analysis
122,ka.mongoid.attributes.time_series_answer.sort_order,Sort Order,Sort Order
123,ka.mongoid.attributes.shapeset.title,Title,Title
124,ka.mongoid.attributes.shapeset.description,Description,Description
125,ka.mongoid.attributes.shapeset.source,Source of Shapeset,Source of Shapeset
126,ka.mongoid.attributes.shapeset.source_url,URL to Souce,URL to Souce
127,ka.mongoid.attributes.shapeset.shapefile,GeoJSON File,GeoJSON File
128,ka.mongoid.attributes.shapeset.languages,Languages of Shapeset,Languages of Shapeset
129,ka.mongoid.attributes.shapeset.default_language,Default Language,Default Language
130,ka.mongoid.attributes.shapeset.created_at,Added On,Added On
131,ka.mongoid.attributes.api_version.permalink,Permalink,Permalink
132,ka.mongoid.attributes.api_version.title,Title,Title
